,lat,long
0,37.75151,-122.42934
1,37.75152,-122.42934
2,37.75158,-122.42941
3,37.75158,-122.42944
4,37.75158,-122.42948
5,37.75158,-122.42953
6,37.75158,-122.42958
7,37.75159,-122.42962
8,37.75159,-122.42967
9,37.75159,-122.42972
10,37.75159,-122.42978
11,37.75158,-122.42983
12,37.75158,-122.42988
13,37.75158,-122.42993
14,37.75158,-122.42998
15,37.75158,-122.43004
16,37.75158,-122.43008
17,37.75158,-122.43013
18,37.75158,-122.43018
19,37.75159,-122.43024
20,37.75159,-122.43028
21,37.7516,-122.43032
22,37.7516,-122.43038
23,37.7516,-122.43043
24,37.7516,-122.43048
25,37.75159,-122.43052
26,37.75159,-122.43056
27,37.75159,-122.43061
28,37.75159,-122.43066
29,37.75158,-122.4307
30,37.75159,-122.43073
31,37.7516,-122.43075
32,37.7516,-122.43076
33,37.7516,-122.4308
34,37.7516,-122.43084
35,37.75158,-122.4309
36,37.75156,-122.43097
37,37.75154,-122.43103
38,37.75153,-122.43111
39,37.75152,-122.43118
40,37.75152,-122.43126
41,37.7515,-122.43134
42,37.7515,-122.43142
43,37.75149,-122.43147
44,37.75149,-122.43154
45,37.75147,-122.43162
46,37.75147,-122.43169
47,37.75147,-122.43175
48,37.75148,-122.43181
49,37.75151,-122.43186
50,37.75156,-122.43189
51,37.75161,-122.43192
52,37.75166,-122.43194
53,37.75172,-122.43195
54,37.75177,-122.43195
55,37.75182,-122.43196
56,37.75187,-122.43197
57,37.75191,-122.43197
58,37.75196,-122.43198
59,37.752,-122.43198
60,37.75204,-122.43198
61,37.75207,-122.43199
62,37.75211,-122.432
63,37.75215,-122.43202
64,37.75218,-122.43204
65,37.75222,-122.43208
66,37.75224,-122.43212
67,37.75225,-122.43216
68,37.75225,-122.43221
69,37.75224,-122.43226
70,37.75223,-122.43231
71,37.75222,-122.43237
72,37.75222,-122.43242
73,37.75221,-122.43248
74,37.75221,-122.43253
75,37.75221,-122.43258
76,37.75221,-122.43264
77,37.75221,-122.43269
78,37.75221,-122.43274
79,37.75221,-122.4328
80,37.7522,-122.43285
81,37.7522,-122.4329
82,37.75219,-122.43296
83,37.75218,-122.43303
84,37.75218,-122.43308
85,37.75218,-122.43314
86,37.75218,-122.43319
87,37.75218,-122.43324
88,37.75218,-122.43329
89,37.75218,-122.43334
90,37.75218,-122.43339
91,37.75218,-122.43344
92,37.75217,-122.4335
93,37.75217,-122.43354
94,37.75217,-122.43359
95,37.75216,-122.43364
96,37.75216,-122.43369
97,37.75216,-122.43374
98,37.75216,-122.43379
99,37.75215,-122.43384
100,37.75215,-122.43388
101,37.75215,-122.43393
102,37.75215,-122.43398
103,37.75215,-122.43404
104,37.75215,-122.43408
105,37.75214,-122.43413
106,37.75214,-122.43418
107,37.75214,-122.43423
108,37.75214,-122.43429
109,37.75214,-122.43435
110,37.75214,-122.43441
111,37.75214,-122.43447
112,37.75213,-122.43453
113,37.75213,-122.4346
114,37.75212,-122.43466
115,37.75212,-122.43472
116,37.75211,-122.43478
117,37.75211,-122.43484
118,37.7521,-122.43489
119,37.75209,-122.43495
120,37.75209,-122.43502
121,37.75208,-122.43508
122,37.75208,-122.43514
123,37.75207,-122.4352
124,37.75207,-122.43526
125,37.75206,-122.43533
126,37.75206,-122.43539
127,37.75205,-122.43545
128,37.75205,-122.43552
