latitude,longitude,elevation
41.358034,-124.029684,30.2
41.358034,-124.029683,30.4
41.358066,-124.029662,30.4
41.358084,-124.029642,30.4
41.358105,-124.029624,30.4
41.358129,-124.029607,30.6
41.358153,-124.029585,30.6
41.35818,-124.029564,30.6
41.358208,-124.029544,30.6
41.358237,-124.029524,30.6
41.358266,-124.029505,30.6
41.358293,-124.02948,30.6
41.358321,-124.029454,30.6
41.358349,-124.029429,30.6
41.358376,-124.029405,30.6
41.358405,-124.029381,30.6
41.358432,-124.029359,30.8
41.358457,-124.029333,30.8
41.358481,-124.029306,30.8
41.358504,-124.029279,31.0
41.358528,-124.029253,31.0
41.358553,-124.029231,31.2
41.358578,-124.02921,31.2
41.358601,-124.02919,31.4
41.358624,-124.029165,31.4
41.358648,-124.029139,31.4
41.358674,-124.029114,31.4
41.358701,-124.029089,31.4
41.35873,-124.029066,31.6
41.358759,-124.029042,31.6
41.358787,-124.029018,31.8
41.358815,-124.028992,31.8
41.358842,-124.028969,32.0
41.358868,-124.028944,32.0
41.358893,-124.028917,32.2
41.358918,-124.028889,32.2
41.358943,-124.028862,32.2
41.358967,-124.028837,32.4
41.35899,-124.02881,32.6
41.359011,-124.028781,32.6
41.359031,-124.028751,33.0
41.359053,-124.028724,33.0
41.359075,-124.028696,33.0
41.359096,-124.028666,33.2
41.359115,-124.028638,33.4
41.35913,-124.028609,33.6
41.359145,-124.028577,33.6
41.359158,-124.028544,33.8
41.359171,-124.02851,33.8
41.359183,-124.028475,34.0
41.359195,-124.028439,34.0
41.359208,-124.028406,34.0
41.359224,-124.028375,34.2
41.359238,-124.028343,34.2
41.359249,-124.028309,34.6
41.359258,-124.028276,34.6
41.359266,-124.028242,34.8
41.359275,-124.028207,35.0
41.359285,-124.028173,35.2
41.359296,-124.028139,35.2
41.359308,-124.028108,35.4
41.35932,-124.028076,35.4
41.359332,-124.028043,35.4
41.35934,-124.02801,35.6
41.359349,-124.027976,35.6
41.359357,-124.027942,35.6
41.359364,-124.027911,35.8
41.359373,-124.027881,36.0
41.359382,-124.02785,36.2
41.35939,-124.027817,36.2
41.3594,-124.027783,36.2
41.35941,-124.027748,36.4
41.359417,-124.027712,36.4
41.359421,-124.027674,36.2
41.359424,-124.027635,36.2
41.359428,-124.027593,36.2
41.359434,-124.027549,36.0
41.359442,-124.027508,36.0
41.359451,-124.027467,36.0
41.359466,-124.027426,36.0
41.359479,-124.027381,36.0
41.359497,-124.02734,36.0
41.359517,-124.027301,36.0
41.35954,-124.027262,36.0
41.359565,-124.027225,36.0
41.359591,-124.02719,36.0
41.359617,-124.027156,36.2
41.359647,-124.027125,36.2
41.359677,-124.027096,36.2
41.359709,-124.027073,36.2
41.359742,-124.027051,36.0
41.359775,-124.027029,36.0
41.359806,-124.027009,36.0
41.359838,-124.026993,36.0
41.35987,-124.026976,36.0
41.359907,-124.026961,36.2
41.359944,-124.026943,36.2
41.359981,-124.026922,36.4
41.360015,-124.026896,36.4
41.360054,-124.026881,36.4
41.360092,-124.026865,36.4
41.360126,-124.026847,36.4
41.360142,-124.026837,36.6
41.360158,-124.026828,36.6
41.360219,-124.02679,36.6
41.360251,-124.026772,36.6
